CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,BORO_CD
"704043059","12/31/2015","23:00:00","12/31/2015","23:00:00","01/01/2016","359","OFFENSES AGAINST PUBLIC ADMINI","759","PUBLIC ADMINISTATION,UNCLASS M","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","INSIDE","HOSPITAL","","","1052908","157429","40.59852476","-73.752765596","(40.59852476, -73.752765596)",414
"909163905","12/31/2015","23:00:00","12/31/2015","23:00:00","01/01/2016","359","OFFENSES AGAINST PUBLIC ADMINI","759","PUBLIC ADMINISTATION,UNCLASS M","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","INSIDE","HOSPITAL","","","1052908","157429","40.59852476","-73.752765596","(40.59852476, -73.752765596)",414
"241309474","12/31/2015","23:00:00","12/31/2015","23:18:00","01/01/2016","118","DANGEROUS WEAPONS","793","WEAPONS POSSESSION 3","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","106","","STREET","","","1029201","185892","40.676801444","-73.837944087","(40.676801444, -73.837944087)",410
"184596857","12/31/2015","23:00:00","12/31/2015","23:00:00","01/01/2016","359","OFFENSES AGAINST PUBLIC ADMINI","759","PUBLIC ADMINISTATION,UNCLASS M","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","INSIDE","HOSPITAL","","","1052908","157429","40.59852476","-73.752765596","(40.59852476, -73.752765596)",414
"157602428","12/31/2015","23:00:00","12/31/2015","23:40:00","01/01/2016","104","RAPE","157","RAPE 1","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN","60","INSIDE","RESIDENCE - APT. HOUSE","","","","","","","","none"
"463441587","12/31/2015","23:00:00","01/01/2016","06:00:00","01/01/2016","341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","109","","STREET","","","1031718","220113","40.770716488","-73.828628462","(40.770716488, -73.828628462)",407
"574691471","12/31/2015","23:00:00","12/31/2015","23:07:00","01/01/2016","126","MISCELLANEOUS PENAL LAW","117","RECKLESS ENDANGERMENT 1","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN","63","INSIDE","RESIDENCE-HOUSE","","","1006955","168225","40.6283944","-73.918204776","(40.6283944, -73.918204776)",318
"471791570","12/31/2015","23:00:00","01/01/2016","05:00:00","01/01/2016","126","MISCELLANEOUS PENAL LAW","461","UNAUTHORIZED USE VEHICLE 2","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN","71","","STREET","","","1001684","181106","40.663761902","-73.9371607","(40.663761902, -73.9371607)",309
"671921277","12/31/2015","23:00:00","01/01/2016","00:15:00","01/01/2016","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","QUEENS","100","INSIDE","RESIDENCE - APT. HOUSE","","","1029886","150309","40.579130257","-73.835715118","(40.579130257, -73.835715118)",414
"258212688","12/31/2015","23:00:00","01/01/2016","12:00:00","01/01/2016","109","GRAND LARCENY","421","LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","102","","STREET","","","1027122","192579","40.695166016","-73.845396735","(40.695166016, -73.845396735)",409
"279527184","12/31/2015","23:00:00","12/31/2015","23:30:00","01/01/2016","121","CRIMINAL MISCHIEF & RELATED OF","269","MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN","94","INSIDE","RESIDENCE - PUBLIC HOUSING","","COOPER PARK","1001685","201032","40.71845417","-73.937105529","(40.71845417, -73.937105529)",301
"790273121","12/31/2015","23:00:00","12/31/2015","23:05:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","INSIDE","RESIDENCE - APT. HOUSE","","","1049528","157677","40.599231006","-73.764934441","(40.599231006, -73.764934441)",414
"879282482","12/31/2015","23:00:00","12/31/2015","23:09:00","01/01/2016","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BROOKLYN","83","FRONT OF","STREET","","","1006893","190126","40.688507974","-73.918354598","(40.688507974, -73.918354598)",304
"858423229","12/31/2015","22:55:00","12/31/2015","23:00:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","110","INSIDE","RESIDENCE-HOUSE","","","1024987","210038","40.743096796","-73.852990281","(40.743096796, -73.852990281)",404
"649434464","12/31/2015","22:40:00","12/31/2015","22:45:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","INSIDE","RESIDENCE - APT. HOUSE","","","1049020","159031","40.602951176","-73.766750764","(40.602951176, -73.766750764)",414
"175064090","12/31/2015","22:40:00","12/31/2015","22:45:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","INSIDE","RESIDENCE - APT. HOUSE","","","1049020","159031","40.602951176","-73.766750764","(40.602951176, -73.766750764)",414
"828497558","12/31/2015","19:30:00","12/31/2015","19:35:00","01/01/2016","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","BRONX","40","","STREET","","","1005597","234066","40.809115383","-73.922888284","(40.809115383, -73.922888284)",201
"288939099","12/31/2015","22:35:00","12/31/2015","23:19:00","01/01/2016","361","OFF. AGNST PUB ORD SENSBLTY &","661","LEWDNESS,PUBLIC","COMPLETED","MISDEMEANOR","N.Y. TRANSIT POLICE","MANHATTAN","14","","TRANSIT - NYC SUBWAY","","","987866","214721","40.756043535","-73.986949544","(40.756043535, -73.986949544)",105
"585593207","12/31/2015","22:35:00","12/31/2015","22:45:00","01/01/2016","109","GRAND LARCENY","406","LARCENY,GRAND FROM PERSON, BAG OPEN/DIP","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN","14","FRONT OF","STREET","","","986685","215375","40.757839003","-73.991212111","(40.757839003, -73.991212111)",104
"446064670","12/31/2015","22:30:00","12/31/2015","22:55:00","01/01/2016","126","MISCELLANEOUS PENAL LAW","198","CRIMINAL CONTEMPT 1","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN","67","FRONT OF","RESIDENCE-HOUSE","","","1007218","176225","40.650352005","-73.917230065","(40.650352005, -73.917230065)",317
"975435512","12/31/2015","22:30:00","12/31/2015","23:30:00","01/01/2016","105","ROBBERY","397","ROBBERY,OPEN AREA UNCLASSIFIED","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","113","","STREET","","","1045563","190583","40.689578928","-73.778913334","(40.689578928, -73.778913334)",412
"207318445","12/31/2015","22:30:00","12/31/2015","22:35:00","01/01/2016","126","MISCELLANEOUS PENAL LAW","198","CRIMINAL CONTEMPT 1","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","101","FRONT OF","RESIDENCE - APT. HOUSE","","","1049020","159031","40.602951176","-73.766750764","(40.602951176, -73.766750764)",414
"745916505","12/31/2015","22:30:00","12/31/2015","22:35:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","FRONT OF","RESIDENCE - APT. HOUSE","","","1049020","159031","40.602951176","-73.766750764","(40.602951176, -73.766750764)",414
"750814658","12/31/2015","22:30:00","12/31/2015","22:35:00","01/01/2016","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","BROOKLYN","67","INSIDE","RESIDENCE - APT. HOUSE","","","997704","178037","40.655345114","-73.951512704","(40.655345114, -73.951512704)",309
"276951387","12/31/2015","22:30:00","01/01/2016","05:30:00","01/01/2016","107","BURGLARY","223","BURGLARY,RESIDENCE,NIGHT","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN","69","INSIDE","RESIDENCE - APT. HOUSE","","","1011458","167964","40.627665325","-73.901983405","(40.627665325, -73.901983405)",318
"567177248","12/31/2015","22:30:00","01/01/2016","08:00:00","01/01/2016","104","RAPE","157","RAPE 1","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX","49","INSIDE","RESIDENCE - APT. HOUSE","","","","","","","","none"
"667984190","12/31/2015","22:30:00","12/31/2015","23:30:00","01/01/2016","109","GRAND LARCENY","406","LARCENY,GRAND FROM PERSON, BAG OPEN/DIP","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN","14","","STREET","","","987215","215403","40.757915693","-73.98929902","(40.757915693, -73.98929902)",104
"709288625","12/31/2015","22:30:00","12/31/2015","22:40:00","01/01/2016","578","HARRASSMENT 2","637","HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT","QUEENS","101","INSIDE","RESIDENCE - APT. HOUSE","","","1055093","161616","40.609999978","-73.744853591","(40.609999978, -73.744853591)",414
